
:Author: crane
:Email: crane@crane-pc
:Date: 2017-10-18 19:18

:from http://vim-scripts.org/vim/scripts.html

Type	Name	Description
utility	OnSyntaxChange	Generate events when moving onto / off a syntax group.
utility	php-cs-fixer	Integrate php-cs-fixer created by fabpot.
utility	cscope.vim	create cscope database and connect to existing proper database automatically.
utility	EscapeBchars	Function to escape the characters used in comments.
utility	HgCi	Script to be used with autocmd bufwritepost when a commit is needed.
utility	sourcebeautify.vim	make your source code pretty in vim
utility	jshint.vim--Stelmach	JSHint Integration
utility	vmark.vim--Visual-Bookmarking	Toggle visual bookmarking and jump through bookmarks
utility	Xdebug	An awesome debugging client for Vim, Xdebug and PHP
utility	matchindent.vim	Match indentation style
utility	cmdpathup	Hotkey for going one level up when editing a path on command line
utility	license-loader	a vim script to load a license template
utility	_jsbeautify	Modified base on jsbeautify.vim (move comma to head of ojbect's attribute line)
utility	vtimer.vim	automatic timer to measure time spent with vim
utility	mathematic.vim	for inputting mathematic symbols.
utility	nosyntaxwords	find words that are not syntactically highlighted in current buffer
utility	DBGPavim	An improved PHP debugger
utility	jsoncodecs.vim	Dumps lines from vim to a valid JSON string
utility	TimeTap	TimeTap helps you track the time you spend coding on each project while in Vim.
utility	PHPUnit-QF	Run PHPUnit tests from within vim and put the errors into the quickfix list.
utility	Transpose	Swap lines with columns in matrices of text, delimited text, etc.
utility	maven-plugin	Help development in Maven
utility	jsruntime.vim	Run javascript in vim
utility	AmbiCompletion	Ambiguous completion
utility	RbREPL.vim	Run a Ruby REPL in VIM.
utility	neocomplcache-snippets_complete	neocomplcache complete snippets source
utility	Ideone.vim	vimscript for ideone
utility	VDBI.vim	Database client for Vim
utility	Fortune-vimtips	vimtips is a project to use fortune software to view vimtips.
utility	evervim	Edit evernote on vim.
utility	bestfriend.vim	How long did you spend your time with your friend?
utility	vim4rally	Rally ALM Integration for Vim
utility	muxmate	An easy way to send shell commands to tmux from vim.
utility	rstatusline	show buffer list on statusline with highlight
utility	vim-addon-ruby-debug-ide	ruby-debug-ide implementation
utility	Splice	Initial stable release.
utility	DBGp-X-client	a real remote debugger (tested only with XDebug/PHP)
utility	vim-addon-rdebug	minimal ruby rdebug implementation
utility	autolink	find and insert URLs for links in Markdown and ReST
utility	SpaceBetween	This plugin fix spaces between = { } in your *.rb file before save it automat
utility	restore_view.vim	A plugin for automatically restoring file's cursor position and folding
utility	flipwords.vim	Provides the command Flip that changes the order of two delimited words
utility	WebAPI.vim	vimscript for gist
utility	clean_imports	Makes use of the Java checkstyle tool to clean your Java file of unused imports
utility	vim-jsbeautify	Simple javascript formater base on js-beautify
utility	StripWhiteSpaces	Strip White Space on save file
utility	close-duplicate-tabs	A plugin for closing duplicate tab pages.
utility	Vitality	Make Vim play nicely with iTerm 2 and tmux.
utility	readnovel	看中文txt小说插件
utility	Vimpy--Stoner	Write Vim scripts in Python. Not Vimscript.
utility	vimux	effortless vim and tmux interaction
utility	XDebug-DBGp-client-for-PHP	minimal php debug client for XDebug (DBGp)
utility	youdao.dict	a translation tools use youdao dict
utility	HyperList	Everything. Concise and precise.
utility	TextTransform	Create text transformation mappings and commands.
utility	Clam	A lightweight plugin for working with shell commands.
utility	paredit.vim	Paredit Mode: Structured Editing of Lisp S-expressions
utility	spacebox.vim	Select a Visual block of indentation whitespace
utility	portmon	分析portmon的输出文件
utility	vroom	Helps you run your Ruby tests
utility	instant-markdown.vim	Real-time Markdown previews from Vim!
utility	gitvimrc.vim	Source .vimrc file from git repository's root
utility	Sauce	Manage multiple vimrc files dynamically
utility	ConflictMotions	Motions to and inside SCM conflict markers.
utility	TaskMotions	Motions to task and TODO markers.
utility	phpqa	Run PHP QA tools and show highlighted results
utility	vim-pomodoro	Vim plugin for the Pomdoro time management technique
utility	vim-addon-commenting	minimal commenting plugin
utility	vim-human-dates	Wouldn't it be nice if you could view epoch dates in a format that made sense?
utility	Finder-for-vim	Finder for VIm
utility	source.vim	source vim plugins and remote scripts
utility	JumpToTrailingWhitespace	Motions to locate unwanted whitespace at the end of lines.
utility	DeleteTrailingWhitespace	Delete unwanted whitespace at the end of lines.
utility	ShowTrailingWhitespace	Detect unwanted whitespace at the end of lines.
utility	hammer.vim	Transform your markup language of choice to HTML, and open the transformed HTML.
utility	tabman.vim	Tab management for Vim
utility	workflowish	ToDo manager plugin inspired by workflowy.com
utility	mystatusinfo.vim	Display Current Tab info on status line
utility	calendar.vim	calendar 日历 农历
utility	fwk-notes	This plugin was created to manages your task/notes by days/weeks/years.
utility	Add-to-Word-Search	Vim plugin to append more words to searches.
utility	Improved-paragraph-motion	Improve paragraph motion
utility	tmpclip.vim	Use a temp file as a clipboard
utility	EasyColour	Colour Schemes made Easy!
utility	fountainwiki.vim	Wiki and indentation for Fountain screenplay files
utility	Yii-API-manual-for-Vim	API manual for Yii PHP framework
utility	pdv-standalone	PHP Documentor for vim as standalone plugin
utility	sandbox_hg	Same as sandbox.vim but for hg(mercurial).
utility	CodeCommenter	Code Comment Assistant
utility	writebackupAutomator	Automatically write a backup on the first write.
utility	Coverity-compiler-plugin	Compiler plugin for the cov-format-errors command in Coverity static analysis
utility	editorconfig-vim	EditorConfig Plugin for Vim -- helps define and maintain consistent coding style
utility	argumentative.vim	initial upload
utility	Vim-Support	Vim Script IDE for Vim/gVim.
utility	phpcs.vim	PHP coding rules checking utility
utility	flymaker	Another GNU Flymake-like plugin for Vim
utility	taskmanagementvim	It uses schema that uses GTD-like philosophy to let you manage tasks within vim.
utility	TagmaLast	Update the 'Last Changed' line in a file
utility	WhiteWash	Remove excess white space.
utility	cd-hook	Provides a Cd command and associated autocmd calls
utility	vim-addon-haskell	run cabal within vim using vim-addon-actions + some goodies
utility	CamelCaseComplete	Insert mode completion that expands CamelCaseWords and underscore_words.
utility	CompleteHelper	Generic functions to support custom insert mode completions.
utility	toggle_comment	To Toggle Comment of single/multiple lines of code
utility	vim-punto-switcher	Works like punto-switcher app. Helps when you type text in wrong keymap.
utility	xsnippet	A plugin for XSnippet.org pastebin service
utility	gtk-mode	Collection of gtk/vala tools
utility	pwdstatus.vim	a statusline that highlights key information (such as the pwd)
utility	buffet.vim	A fast, easy to use buffer list plugin for switching and managing buffers.
utility	viewdoc	Flexible viewer for any documentation (help/man/perldoc/etc.)
utility	gf-diff	Go to a hunk from diff output
utility	gf-user	A framework to open a file by context
utility	switch-buffer-quickly	A simple way to switch buffer quickly
utility	Independence	Automatically loads .vimrc files in your git project root
utility	textobj-line	Text objects for the current line
utility	ruscmd	Support command mode in Russian keyboard layout
utility	DfrankUtil	Just a library for some scripts.
utility	autosess	Auto save/load sessions
utility	EasyDigraph.vim	input special characters easier (+digraphs).
utility	Powerline	The ultimate vim statusline utility.
utility	ambicmd.vim	You can use ambiguous command.
utility	ft_improved	improved f/t command
utility	html-xml-tag-matcher	Matches closing tag of an opening xml or html tag by scanning the document
utility	turbux.vim	Turbo Ruby tests with tmux
utility	vimprj	Plugin for managing options for different projects
utility	SmartusLine	Plugin that changes the color of the statusline according with the current mode
utility	Lawrencium	A Mercurial wrapper for Vim.
utility	shelp	Plugin for customer vim's toolbar and popup menu
utility	rmvim	Remote editing with local gui Vim instance
utility	Word-Fuzzy-Completion	A word fuzzy completion plugin for vim.
utility	tocdown	display the headlines of a markdown document in an extra window
utility	ide	Customized update/rewrite of the project script
utility	unite-scriptenames	a Unite.vim plugin to find/open runtime scriptnames
utility	dokuwiki	use vim as your personal wiki using dokuwiki syntax
utility	Mark-Ring	Cycle through your marks.
utility	boolpat.vim	Boolean-logic patterns, based on LogiPat
utility	git-time-lapse	Perforce-style
utility	visualrepeat	Repeat command extended to visual mode.
utility	SpellCheck	Work with spelling errors.
utility	nodeunit.vim	A simple compiler for testing javascript/coffeescript with nodeunit
utility	nose.vim	Simple compiler for testing python with nose
utility	weibo.vim	用vim发腾讯微博
utility	ChickenSetupXp	Xptemplate snippets for Chicken Scheme setup files
utility	ChickenMetaXp	Xptemplate snippets for Chicken Scheme meta files
utility	yankstack	lightweight implementation of emacs' kill ring for vim
utility	SchemeXp	Scheme snippets for xptemplate
utility	LastBuf.vim	open last closed buffers.
utility	better-snipmate-snippet	Better Snipmate Snippets for VIM
utility	inline_edit.vim	Edit code that's embedded within other code
utility	aurum	Plugin for dealing with source files under various VCS control
utility	simple_bookmarks.vim	Named bookmarks, storing both filename and cursor position
utility	csslint.vim	Vim plugin of csslint
utility	Lisper.vim	Yet Another Lisp Engine Written In Pure VimScript
utility	project.vim	Fast to open C project
utility	RSTO	Goto function (open/create) for ReStructured Text directives
utility	ipi	Load plugins individually - cut down start-up time.
utility	TFS	Use TFS version control from within VIM
utility	openrel.vim	Open relatively-described files under the cursor
utility	vim-diff	diff written in VimL.
utility	vim-symbols-strings	A silly little plugin to convert Ruby symbols to strings and vice versa
utility	anwolib	Yet another vim library
utility	node.js	File type detect plugin for vim which detects node.js shebang
utility	php-doc	phpdoc
utility	html-source-explorer	The "HTML Source Explorer" plugin is meant to aid on the html source exploring.
utility	Tagma-Buffer-Manager	Simple Buffer Manager
utility	SonicTemplate.vim	Easy and high speed coding method
utility	statline	Add useful information to the statusline
utility	VIM-Metaprogramming	Metaprogramming in VIM scripts
utility	indentfolds	Indentation-level based folds with a twist
utility	utags	Find usage of a word (tag) in the project.
utility	wiki.vim	Use curl to get and post pages in mediawiki sites using basic auth
utility	Lyrics	Show lyrics
utility	rainbow_parentheses.vim	Better Rainbow Parentheses
utility	tagfinder.vim	A simple vim plugin to look for tags of specific kinds: classes, functions, etc.
utility	mappingmanager	easy navigation between keyboard mappings
utility	MapFinder	Find Maps with vim patterns matching rhs.
utility	vimroom.vim	WriteRoom in Vim.
utility	TagmaTasks	IDE like Task List for Vim buffers.
utility	fcitx.vim	keep and restore fcitx state when leaving/re-entering insert mode
utility	vim-google-scribe	Keystroke saving with Vim and Google Scribe
utility	Speech	Speech to text and text to speech via google speech api
utility	slide-show	A tool for viewing source code in a slide show fashion.
utility	Ambient-Theme	Sets your theme's background based on ambient light
utility	racket-auto-keywords.vim	Populates syntax keyword racketFunc/racketSyntax/scribbleMarkup
utility	vim-pad	a quick-notetaking plugin
utility	Vimpy	Vimpy helps in Navigating through Python code easy.
utility	TclShell	Tcl Shell for Vim
utility	NagelfarVim	Integrates Nagelfar with Vim
utility	watchdog.vim	Comprehensive, dynamically resizing statusline
utility	linediff.vim	Perform an interactive diff on two blocks of text
utility	MarkdownFootnotes	Insert Extended Markdown Footnotes with Vim
utility	Vimerl	The Erlang plugin for Vim
utility	kiwi.vim	Support for writing Kiwi specs
utility	gccsingle.vim	Quick run single C source file
utility	TagmaTips	Tool Tips for Vim
utility	ctrlp.vim	Fuzzy file, buffer, MRU, and tag finder with regexp support.
utility	bad-whitespace	Highlights whitespace at the end of lines, only in modifiable buffers
utility	statusline.vim	Beautify statusline
utility	putcmd.vim	Insert command and its result
utility	right_align	Right alignment of string under cursor
utility	quickfixstatus.vim	show quickfix errors/warnings as you move through the file
utility	Threesome	A plugin for resolving conflicts during three-way merges.
utility	noweboutline.vim	a noweb file out line tool
utility	diffwindow_movement	Movement over changes in a diff window.
utility	SnippetySnip	Inserts named snippets from various other files into a file
utility	fuzzee.vim	Fuzzy expansions for :e and :E
utility	numlist.vim	Add and remove id to a list items
utility	tabasco	Saves and loads tabs
utility	tabpage.vim	Beautify the tab pages
utility	EasyPeasy	Easily create and include system tags
utility	swapcol.vim	Swap two columns
utility	obvious-resize	Resize Vim windows in an obvious way.
utility	Rcode	Run various types of code against current buffer
utility	fthook.vim	simplify filetype specific setting.
utility	tryit.vim	Open scratch buffer to try idea.
utility	Premailer.vim	Use Premailer in Vim.
utility	cssbaseline.vim	Build empty CSS blocks from HTML.
utility	prefixer.vim	Add browser prefixes to CSS3 properties.
utility	commentary.vim	Comment stuff out; takes a motion as a target
utility	enablelvimrc.vim	load a .lvimrc when starting vim if it exists.
utility	FixCSS.vim	Add whitespace to junk CSS files
utility	quickhl.vim	Quickly highlight multiple word.
utility	annotatedmarks	Enhancing the built-in marks functionality of vim.
utility	golden-ratio	Resize windows automatically using the Golden Ratio
utility	Rst-edit-block-in-tab	Opens a particular reST directive block in a new tab
utility	RegImap	Plugin for automatically execute regular expression substitutes in insert mode
utility	wikiatovimhelp	Convert VimWikia Article to Vim help file
utility	functionlist.vim	This plugin makes it easy to navigate between functions in a long file.
utility	tablistlite.vim	Tracks the previously accessed tabs,and provides interface to switch back.
utility	copy-as-rtf	Copy syntax-highlighted code from vim to the OS X clipboard as RTF text
utility	cab.vim	Vim plugin for using ack-grep with iterm for fast and easy search in project
utility	cdevframework	C/C++ development framework
utility	rake.vim	It's like rails.vim without the rails
utility	repeat-motion	give vim support of repeat motion operations
utility	SnipMgr	A simple snippets manager for 'snipMate' Vim plugin
utility	Intelligent-Tags	Automated Tag creation/inclusion
utility	LycosaExplorer	A dynamic filesystem and buffer explorer
utility	transpose-words	Swap two words as M-t (transpose-words) in Emacs or bash.
utility	vrackets	automatically close different kinds of brackets
utility	brep	Scan certain buffers for a regexp and save the result as quickfix list
utility	vim-task-org	Manipulate TODO/FIXME/etc marks (tasks) in your sources.
utility	googleclosurevim	Google Closure plugin for vim
utility	cakephp.vim	Tools for working with CakePHP from vim
utility	AutoCpp	AutoCpp types complex C++ typenames for you.
utility	VimLite	Make vim as a C/C++ IDE inspired by CodeLite.
utility	Filesearch	Filesystem searching using glob or regular expression patterns
utility	gnupg.vim	Plugin for transparent editing of gpg encrypted files.
utility	vimgtd	gtd by vim
utility	Vimper-IDE	vimper : Yet another IDE using Vim...
utility	Atomic-Save	Save files atomically with ordinary "w" command
utility	The-Old-Ones	Alerts you to old buffers.
utility	svnst.vim	easy way to use "svn status" in vim buffer.
utility	ReplaceFile	Replace Current File with new File
utility	WinFastFind	Fast replacement for vim "find" in windows
utility	snipmate-snippets	snippets for snipmate
utility	git_patch_tags.vim	Global plugin for adding patch tags from linux SubmittingPatches document
utility	frawor	Vim framework
utility	IDSearch	Plugin to supplement id-utils gid command for super-fast find-in-files.
utility	resizewin	mini util for temporary widen window horizontally/vertically/both
utility	AutoSaveSetting	Persistent settings for gVim (Mac/Linux/Win)
utility	indsas	Indentation for SAS scripts
utility	chef.vim	make cookbook navigation quick and easy for Opscode's Chef.
utility	beautiful-pastebin	Extract a code from pastebin
utility	ri-viewer	ri-viewer.vim
utility	Buffersaurus	A Vim Plugin for Searching and Indexing Across Buffers (with Context!)
utility	Buffergator	Buffer listing, selection, and switching/navigation utility
utility	wikilink	Personal wiki link navigator
utility	Quicksilver.vim	Quickly open files from inside VIM.
utility	ShowMarks7	apply a patch for orgin ShowMarks(152)
utility	splitjoin.vim	A plugin that helps with switching between single-line and multiline code
utility	browsereload-mac.vim	vim plugin to reflesh your browser. his plugin works only MacOS.
utility	operator-star	This plugin provides the operator versions of                                                               | star                        | , | gstar        | ,           | # | , | g# | .
utility	nautilus-py-vim	Edit with Vim in Nautilus
utility	vim_django	Simplifies opening related files in Django projects
utility	listtag	list all tags and jump to one of your choise
utility	reorder-columns	reorder columns.
utility	cmdline-insertdatetime	insert date or datetime in command line.
utility	Auto-Pairs	Insert or delete brackets, parens, quotes in pair.
utility	Advancer-Abbreviation	create code snippet through vim abbreviation
utility	colorv.vim	Easier color handling.
utility	Fanfou.vim	This is a Vim plugin for Fanfou (饭否)
utility	ethna-switch	PHP Ethna Action/View/Template File Switch Plugin.
utility	ucompleteme	better code completion for vim
utility	pdub	dead simple vim-based password managment
utility	browserprint	Prints text files to the browser
utility	vim-coffee-script	CoffeeScript support for vim
utility	cake.vim	Utility for CakePHP developers.
utility	Find-XML-Tags	Locate tags with out of order attributes
utility	Redhawk-Vim-Plugin	A plugin for redhawk: query and replace
utility	checklist.vim	A super-simple way to create todo lists.
utility	Comceal	Utility to hide comments with conceal feature
utility	simplenote.vim	plugin to interact with the simplenote web service
utility	vim-textobj-quoted	A text-object for quoted text
utility	ignore-me	accidental duplicate
utility	lastmod.vim	Update a last modification timestamp when saving a file
utility	jshint.vim	A plugin that integrates JSHint with Vim
utility	Enter-Indent	By pressing enter between two tags, the cursor is repositioned O
utility	gitv	gitk for Vim.
utility	quit-another-window	Plugin for quick close another window and keep working in current window
utility	ro-when-swapfound	Open Vim in read-only mode when swapfile is found.
utility	dogmatic.vim	Arrow keys are heretical
utility	colorizer	Highlight #rrggbb or #rgb color
utility	hier	Highlight quickfix errors and location list entries
utility	Table-Helper	Utility to help in the creation of tables of data
utility	PairTools	Auto close pairs and tags
utility	gtrans.vim	Vim上的翻译插件
utility	visual-increment	Use CTRL+A/X to create increasing sequence of numbers or letters via visual mode
utility	editqf	Make quickfix entries editable
utility	fso	file system operations under cursor and more
utility	emacscommandline	makes command-line mode behave more like the Unix command line
utility	Message-Formatter	An plugin to ease typing of repetitive of code
utility	gsearch	Search Google inside Vim
utility	plexer	Arbitrary Multi-line multi-edit plugin
utility	molly.vim	ZOMG! Very fast and sexy textmate-like command-t plugin.
utility	Google-Translate	Google Translate for Vim
utility	cascading.vim	Cascading indenter
utility	opener.vim	Open files and URLs in the appropriate viewer
utility	Sesiones.vim	Plugin for managing sesions the easy way
utility	fatrat.vim	Work with all runtime files for a filetype
utility	Save-Current-Font	Add your current font setting to your gvimrc.
utility	rvmprompt.vim	A simple interface for rvm-prompt command
utility	XPath-Search	Allows XPath searches to be performed on XML files
utility	Tab-Manager	Rearranges buffers into tabs
utility	GetFilePlus	a gf tweak for python webapp developers
utility	UltraBlog	Ultimate Vim blogging plugin
utility	cmdline-completion	cmdline completion like insert mode
utility	boost.vim	Load templates for new files
utility	EasyMotion	Vim motions on speed!
utility	Rename	Replaces instances of current word or selection
utility	gem.vim	a project helper for ruby gem/libraray development
utility	accentuate.vim	Vim plugin that transforms text with the Accentuate.us web service
utility	iconv	iconv() function
utility	VimOutliner	Outline processor designed for lightning fast authoring
utility	vim-activator	A tool for reusing vim in xterm
utility	Scala-Java-Edit	Jump to source file associated with class name
utility	text-object-left-and-right	text oject for left and right of a statement
utility	VimRepress	Plugin for managing wordpress blog from Vim.
utility	extradite.vim	A git commit browser. Extends fugitive.vim.
utility	scrnpipe.vim	Pipe lines from your buffer to a screen window
utility	PasteBin.vim	vimscript for pastebin
utility	taglist-plus	Source code browser with awesome Javascript support
utility	To-Upper-case-case-changer	change the keywords to upper case.
utility	emacs-like-macro-recorder	Provider emacs like macro recording short-cut key
utility	FindEverything	Find everyting in your drives.
utility	Scala-argument-formatter	Format method arguments
utility	underlinetag	underline tagged word to know the word hyperlinked.
utility	textmanip.vim	Maniplate(duplicate, move) selected text easily
utility	visualctrlg	Report info about selected text
utility	urilib	URI library in vim script inspired by URI.pm
utility	rebar	Vim plugin for using Rebar commands conveniently inside Vim
utility	reporoot.vim	Change directory to the root of the source code repository
utility	phrase.vim	gather useful phrase, refer it whenever you want.
utility	PyREPL.vim	PyREPL.vim is a plugin that provides a way to run a Python REPL inside buffer.
utility	vim-remote	Vim clientserver protocol library
utility	makebg	Shell script to perform make in the background.
utility	bitly.vim	utility for bit.ly
utility	Vim-Blog	An updated plugin to allow you to post from VIM to Wordpress
utility	thermometer	work with mercurial
utility	tidydiff	highlight what perltidy would do
utility	csc.snippets	Essbase script snippet file
utility	align	Align the right ends of statements together.
utility	vimake-vim-programmers-ide	A Vim Programmers IDE (Linux)
utility	Tagbar	Display tags of the current file ordered by scope
utility	Tabular	Vim script for text filtering and alignment
utility	Compile	initial commit
utility	funprototypes.vim	automatic insert function prototypes in your code
utility	vundle	Vundle the Vim package manager
utility	vim-paint	vim-paint
utility	Headlights	A 'Bundles' menu for Vim (like TextMate)
utility	Flog	Flog integration for Ruby files
utility	File-Case-Enforcer	Enforce (Windows) filesystem case in buffer names
utility	activity-log	Log what you're working on, and when.
utility	ParseJSON	Simple JSON Parser
utility	neco-look	A neocomplcache plugin for `/usr/bin/look` for completing words in English.
utility	PreciseJump	PreciseJump - script to ease on-screen motion.
utility	codepath.vim	A function for your root project path
utility	IniParser	This plugin provides functions to read and write ini files for vimscript.
utility	Biorhythm	Biorhythm calculator
utility	lazysnipmate	patched snipmate
utility	AsyncCommand	Execute commands and have them send their result to vim when they complete
utility	vim-addon-sml	my sml support for Vim
utility	LispXp	Lisp snippets for xptemplate
utility	pytest.vim	Runs your (Python) tests with py.test displaying red/green bars
utility	neco-ghc	A neocomplcache plugin for Haskell, using ghc extensions
utility	Comment-Squawk	Ensures that every PHP file you edit has good function comments.
utility	hdl_plugin	Vhdl/Verilog fast instant and generate testbench file.
utility	toner.vim	A tool for toning vim highlight colors
utility	w3cvalidator	W3cValidate.vim is a plugin that enables buffer/url w3c validation
utility	xterm-color-table.vim	All 256 xterm colors with their RGB equivalents, right in Vim!
utility	nclipper.vim	copy lines into clipboard with the line numbers
utility	headerGatesAdd.vim	automatic inser C/C++ header gates
utility	auto-kk	from auto.vim
utility	Google-translator	Ajax Google translator
utility	Search-Google	Open default webbrowser and search word in current cursor position with google.
utility	phpunit	Plugin to run phpunit test inside vim
utility	unite.vim	Unite all sources
utility	chapa	go to, comment or visually select the next/previous function, class or method
utility	BOOKMARKS--Mark-and-Highlight-Full-Lines	Easily Highlight Lines with Marks, and Add/Remove Marks
utility	localrc.vim	Enable configuration file of each directory.
utility	line-based_jump_memory.vim	Allows to quickly return to the original position after a jump on the line
utility	polytonic.utf-8.spl	Spell checking for multi accented (polytonic) Greek.
utility	JumpToLastOccurrence	f{char} motions that count from the end of the line.
utility	shadow.vim	A plugin to support you code with a wrapper transparently in a pluggable way.
utility	StatusLineHighlight	Change statusline color depending on buffer state.
utility	textobj-rubyblock	A custom text object for selecting ruby blocks.
utility	emacsmodeline.vim	Parse emacs mode line and setlocal in vim
utility	vimorator	the simple tnsnames.ora parser
utility	JumpNextLongLine	Jump to the next line that exceeds the &textwidth option.
utility	vcslogdiff	Plugin to vcscommand.vim to allow easy diffing in log window
utility	Vimblr	Post to Tumblr right from Vim
utility	FanVim	Fanfou client for Vim
utility	notes.vim	Easy note taking in Vim
utility	ColorSelect	Plugin to select color with gtk interface
utility	blockle.vim	Toggle ruby block styles
utility	eteSkeleton	Yet another skeleton utility
utility	List-File	Nested, folded lists
utility	Shebang	Make executable by setting the correct shebang and executable bit
utility	Ceasy	A C interpreter from withim Vim
utility	janitor.vim	Remove extra whitespaces at end of each line
utility	Figlet.vim	Finally, the power of Vim + Figlet!
utility	tabpagecolorscheme	Each tab have its own colorscheme
utility	NERD_Tree-and-ack	Adding search capability to NERD_Tree with ack
utility	unite-yarm	A Unite.vim plugin for redmine
utility	UnconditionalPaste	Force character-/line-/block-wise paste, regardless of how it was yanked.
utility	auto_mkdir	Allows you to save files into directories that do not exist yet.
utility	qthelp	Allows you to open Qt help pages in browser from your C++ source code.
utility	lastchange.vim	automatically set time-stamp on modification
utility	unite-gem	A Unite.vim plugin to search/install RubyGems packages easily, using gem command
utility	screen_line_jumper	move to a visible line that end with a certain number
utility	inccomplete	Plugin for C/C++/ObjC/ObjC++ include directive completion.
utility	preview	Plugin for previewing markup files(markdown,rdoc,textile,html)
utility	auto	Coding automation for c/c++/ruby/python/shell/perl/...
utility	Smart-Home-Key	Home key toggles between ^ and 0
utility	VIP	Special copy and paste for VHDL entities, components and instances of components
utility	unite-locate	A Unite.vim plugin to find/open files easily, using locate command
utility	VimCalc	Plugin that provides a convenient interactive calculator inside a Vim buffer.
utility	PyScratch	allows processing of Python/Ruby/Perl/Lua commands directly in Vim buffer
utility	stakeholders	Pimp up your old templates with dynamic place-holders
utility	vim-fileutils	Cross-platform file manipulation library
utility	VimCoder.jar	The TopCoder Arena editor plugin with Vim integration.
utility	vim-addon-xdebug	xdebug support for VIm using vim-addon-async
utility	unite-font	A Unite.vim plugin for changing your font.
utility	unite-colorscheme	A Unite.vim plugin for changing your colorscheme.
utility	vim-addon-signs	work around the bad API of Vim setting, unsetting signs (markers at the left)
utility	tohtml_wincp	Autodetect installed Windows encodings for :TOhtml
utility	vim-addon-json-encoding	make Vim read and write JSON objects
utility	maxivim	Maximize/unmaximize gvim without window manager
utility	operator-html-escape	operator-html-escape provides operator to escape HTML entities.
utility	savemap.vim	savemap is the library to save current mapping(s)/abbreviation(s)
utility	gdb4vim	This script give you some ability to use gdb
utility	vim-refact	Some refactoring for Vim
utility	vim-addon-async	asynchronous communication for Vim
utility	Gundo	Visualize your undo tree.
utility	smartbd	keep splits when deleting buffers
utility	clang-complete	Use of Clang for completing C, C++, Objective-C and Objective-C++
utility	TrimBlank	help trim trailing blank characters and blank lines
utility	vim_faq	The Vim-FAQ from vimdoc.sourceforge.net
utility	sjump.vim	Display labels in the sign area and jump to selected label
utility	toggle_option	Initial upload
utility	numbered.vim	Number items in a list.
utility	openurl.vim	open a url in a default browser
utility	RevealExtends	A plugin to reveal extended URLs from the buildout cache
utility	Show-mandictperldocpydocphpdoc-use-K	Show man
utility	Lite-Tab-Page	A Tab Page extension plugin
utility	looks	Manage various looks/settings of vim
utility	Quotes	Use "" (2 double quotes) instead of ci' or ci" or ci`
utility	eregex.vim	Perl/Ruby style regular expression
utility	Tabbi	Aligns text as a table
utility	ProjectParse	Parse common project types to augment the project plugin
utility	Python-3.x-Standard-Library-Reference	The Python 3.x standard library documentation as a Vim help file
utility	Python-2.x-Standard-Library-Reference	The Python 2.x standard library documentation as a Vim help file
utility	ProjectCTags	Generates CTAGS for versioned projects without the need to maintain project file
utility	RangeMacro	Execute macro repeatedly until the end of a range is reached.
utility	CommandWithMutableRange	Execute commands which may add or remove lines for each line in the range.
utility	open_file_from_clip_board	open file path that is copied in clipboard
utility	command-list	create a list of command and display as needed
utility	clang	Clang compiler definition
utility	Say-Time	Say time date and time through speakers every 1/2 hr
utility	sequence	Increment / Decrement a sequence of numbers
utility	ora-workbench	A workbench for Oracle databases
utility	makesd.vim	Generate Perl and C-style section dividers
utility	L9	Vim-script library
utility	RubyProxy	Makes most of vims functions available to ruby via a proxy.
utility	swap	Easy swapping of text
utility	Jasmine-snippets-for-snipMate	A set of snippets for the Jasmine JavaScript BDD Framework
utility	CaptureClipboard	Append system clipboard changes to current buffer.
utility	Timer-routine	Does a 'timer' for vimscript like there is on other languages
utility	Open-associated-programs	Open files and web pages in associated programs from Vim
utility	bufsurf	Plugin for navigating buffers webbrowser style.
utility	tdvim_FoldDigest	Creates an outline view from folds in the current buffer
utility	minibufexplorerpp	Elegant buffer explorer - takes very little screen space
utility	LimitWindowSize	Reduce the current window size by placing an empty padding window next to it.
utility	blockinsert	Easy Insert/Append to a paragraph of text
utility	html5.vim	HTML5 omnicomplete funtion and syntax for Vim
utility	showcolor.vim	show all color in term or gui with vim.
utility	ToggleLineNumberMode	Switch between "Relative" / "Absolute" line number
utility	VimgrepBuffer	Run vimgrep on buffers
utility	PyInteractive	Simple python read-eval-print loop inside Vim
utility	stem-search	StmSrch is a reverse-stem searching script
utility	porter-stem	PorterStem implements the Porter stemming algorithm for use as script utility
utility	VIM-Color-Picker	A simple color picker for VIM, based on GTK color chooser dialog.
utility	LanguageTool	Grammar checker for English, French, German (etc.) in Vim
utility	indexer.tar.gz	Auto-generate tags for all files of project(s) and keep tags up-to-date
utility	ProjectTag	This plugin is aimed at generating tags for a whole project.
utility	processing-snipmate	A port of the Textmate bundle to work with processing pde files
utility	qnamebuf	QuickNameBuf: A quick general manager
utility	Replay.vim	Record and Replay your editing Session
utility	View-Ports	Change tab title in terminal version of Vim
utility	presets	Quickly switch between vim configurations
utility	operator-reverse	Operator to reverse text/lines
utility	Smart-Parentheses	Minimal but smart parentheses handling for programming
utility	Quotes	Minimal but smart quote handling for programming
utility	cHiTags	Hi tags
utility	bundler	Vim Ex-command wrapper for Ruby Bundler
utility	htip	quick haskell hints at the status line
utility	mantip	quick tip from synopsis section in man pages for words
